                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.99624,                 1.2117,                 1.5332,                0.45546,                0.67739,                0.55274,                0.38306,                 1.1004,                 1.1095,                 1.7412,             0.00073704,             0.00073704,             0.00073704
                     36,                 1.0013,                 1.1985,                 1.5412,                0.45138,                0.71735,                0.53765,                0.38091,                 1.0904,                 1.2123,                  1.788,             0.00072604,             0.00072604,             0.00072604
                     37,                0.99479,                 1.2031,                 1.5317,                0.43854,                0.70498,                0.53772,                0.37464,                 1.2017,                 1.2173,                 1.8471,             0.00071504,             0.00071504,             0.00071504
                     38,                0.98672,                 1.1884,                 1.5287,                0.43492,                0.75131,                0.55342,                0.38961,                 1.1535,                 1.1175,                  1.798,             0.00070404,             0.00070404,             0.00070404
                     39,                0.97878,                 1.1678,                 1.5078,                0.44444,                0.68486,                0.55568,                0.37613,                  1.113,                 1.1067,                 1.7676,             0.00069304,             0.00069304,             0.00069304
                     40,                0.98295,                 1.1524,                 1.5044,                0.44221,                0.67241,                0.55279,                0.39487,                 1.0413,                 1.1379,                  1.697,             0.00068204,             0.00068204,             0.00068204
                     41,                0.95407,                 1.1418,                 1.4811,                0.48287,                0.61245,                0.57439,                0.40474,                 1.1082,                 1.0858,                 1.7197,             0.00067104,             0.00067104,             0.00067104
                     42,                 0.9786,                 1.1434,                 1.5083,                0.47701,                0.69275,                0.58928,                0.40934,                 1.0927,                  1.068,                  1.747,             0.00066005,             0.00066005,             0.00066005
                     43,                 0.9531,                 1.1171,                 1.4858,                0.50245,                0.64774,                 0.5797,                0.41296,                 1.0659,                 1.1059,                 1.6984,             0.00064905,             0.00064905,             0.00064905
                     44,                 0.9711,                 1.1215,                 1.5028,                0.48869,                0.68426,                0.57026,                0.39454,                 1.0854,                 1.1481,                 1.7405,             0.00063805,             0.00063805,             0.00063805
                     45,                0.95923,                 1.1044,                 1.4838,                0.44887,                0.72286,                0.58146,                0.40973,                 1.0834,                 1.1246,                 1.6906,             0.00062705,             0.00062705,             0.00062705
                     46,                0.92018,                 1.0927,                 1.4549,                0.51503,                0.69084,                0.61104,                0.42805,                 1.1155,                 1.0572,                 1.7444,             0.00061605,             0.00061605,             0.00061605
                     47,                0.93115,                  1.066,                  1.458,                0.49525,                0.68122,                 0.6082,                0.43444,                  1.093,                 1.0877,                 1.7487,             0.00060505,             0.00060505,             0.00060505
                     48,                0.94913,                 1.0648,                 1.4724,                0.48745,                0.67094,                0.58957,                0.41288,                 1.1371,                 1.1241,                 1.7918,             0.00059405,             0.00059405,             0.00059405
                     49,                0.93471,                 1.0657,                 1.4568,                0.46939,                0.66647,                0.58679,                0.42078,                 1.0462,                 1.0436,                 1.6591,             0.00058305,             0.00058305,             0.00058305
                     50,                0.92705,                 1.0461,                 1.4618,                0.52423,                0.65174,                0.61291,                 0.4427,                 1.0429,                 1.0497,                 1.6667,             0.00057205,             0.00057205,             0.00057205
                     51,                0.91918,                 1.0373,                 1.4484,                0.49775,                0.69852,                0.61031,                0.43936,                 1.0531,                 1.0485,                 1.6987,             0.00056105,             0.00056105,             0.00056105
                     52,                0.89909,                 1.0307,                 1.4377,                0.56879,                0.61636,                0.63185,                0.45345,                 1.0223,                 1.0303,                 1.6461,             0.00055006,             0.00055006,             0.00055006
                     53,                0.90632,                 1.0286,                 1.4432,                0.54153,                0.69119,                0.64718,                0.46556,                 1.0329,                0.98367,                 1.6348,             0.00053906,             0.00053906,             0.00053906
