                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.78262,                0.68921,                 1.3052,                0.65193,                0.72758,                0.72676,                0.52985,                 1.0861,                 1.1854,                 1.7267,             0.00073704,             0.00073704,             0.00073704
                     36,                 0.7805,                0.70948,                 1.3071,                0.63896,                0.71888,                0.71436,                0.52682,                 1.0239,                0.97165,                 1.6778,             0.00072604,             0.00072604,             0.00072604
                     37,                 0.7774,                0.69974,                 1.3031,                0.69434,                0.72794,                0.75694,                0.56336,                 1.0171,                0.86929,                 1.6253,             0.00071504,             0.00071504,             0.00071504
                     38,                0.77905,                0.69477,                 1.3112,                0.67287,                0.72306,                0.73516,                0.54607,                0.96915,                0.94523,                  1.584,             0.00070404,             0.00070404,             0.00070404
                     39,                0.76922,                0.68186,                 1.2962,                0.70445,                0.69115,                0.74255,                 0.5473,                 1.0029,                0.84034,                 1.6225,             0.00069304,             0.00069304,             0.00069304
                     40,                0.77324,                0.67171,                 1.2916,                0.67705,                0.69816,                0.71855,                0.53947,                0.99411,                0.90365,                 1.6041,             0.00068204,             0.00068204,             0.00068204
                     41,                0.77054,                0.65884,                 1.2901,                 0.6514,                0.69872,                0.71976,                0.53317,                 1.0087,                 1.1098,                 1.6375,             0.00067104,             0.00067104,             0.00067104
                     42,                0.77065,                0.67339,                 1.2941,                0.66181,                0.72419,                0.74089,                0.55021,                0.98771,                 0.9679,                 1.6107,             0.00066005,             0.00066005,             0.00066005
                     43,                0.75091,                0.64436,                 1.2786,                0.65372,                0.73585,                0.72829,                0.54722,                0.97287,                 1.0193,                 1.5729,             0.00064905,             0.00064905,             0.00064905
                     44,                0.75915,                0.65612,                 1.2867,                0.68864,                0.71765,                0.74284,                0.55058,                 1.0046,                0.93733,                 1.6363,             0.00063805,             0.00063805,             0.00063805
                     45,                0.76291,                0.65735,                 1.2819,                0.67895,                 0.7108,                0.72766,                0.53921,                 1.0218,                0.95009,                 1.6417,             0.00062705,             0.00062705,             0.00062705
                     46,                0.73072,                0.63967,                 1.2579,                0.68512,                0.71578,                0.74031,                0.54829,                 1.0308,                0.88115,                  1.643,             0.00061605,             0.00061605,             0.00061605
                     47,                0.73855,                0.63362,                 1.2542,                0.70789,                0.73422,                0.76436,                0.56935,                 1.0009,                0.91095,                 1.6291,             0.00060505,             0.00060505,             0.00060505
                     48,                0.75029,                0.64552,                 1.2703,                0.71326,                0.71195,                0.75369,                0.56196,                0.98837,                0.87411,                 1.6241,             0.00059405,             0.00059405,             0.00059405
                     49,                 0.7419,                0.63307,                 1.2605,                0.66255,                0.71872,                0.74074,                0.55183,                 1.0013,                0.86959,                  1.633,             0.00058305,             0.00058305,             0.00058305
